mid,code,libelle_officiel,chapitre,niveau,type_noeud,source,table_attache,texte,texte_divergent,patron,classe_proposee,destination_proposee,motif,peremption_suspecte,peremption_motif,version_regle
604,C84.5,Autres lymphomes à cellules T/NK matures,II,4,sous_categorie,E,NOTE,"Si une atteinte des cellules T est mentionnée à propos d'un lymphome précis, il convient de le coder selon la description la plus précise.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
615,C85.1,"Lymphomes à cellules B, sans précision",II,4,sous_categorie,E,NOTE,"Si une atteinte des cellules B est mentionnée à propos d'un lymphome précis, il convient de le coder selon la description la plus précise",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
605,C97,Tumeurs malignes de sièges multiples indépendants (primitifs),II,3,categorie,E,NOTE,"Pour l'utilisation de cette catégorie, se référer aux règles et instructions du Volume 2 concernant le codage de la mortalité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
43,F66,Problèmes psychologiques et comportementaux associés au développement sexuel et à son orientation,V,3,categorie,E,NOTE,"L'orientation sexuelle n'est pas, en elle-même, à considérer comme un trouble.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
60,G09,Séquelles d'affections inflammatoires du système nerveux central,VI,3,categorie,E,NOTE,"Cette rubrique doit être utilisée pour définir des affections classées à l'origine en G00, G01, G02, G03, G04, G05, G06, G07, G08 (c'est-à-dire à l'exclusion de celles marquées d'un astérisque (*)) comme causes de séquelles, ces dernières pouvant être classées ailleurs. Le terme ""séquelles"" comprend des états précisés comme tels ou comme effets tardifs, ou présents une année ou plus après le début de l'affection causale. Pour l'utilisation de cette catégorie, se référer aux règles et instructions du Volume 2 concernant la morbidité et la mortalité.",false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
61,G11.1,Ataxie cérébelleuse à début précoce,VI,4,sous_categorie,E,NOTE,Début habituellement avant l'âge de 20 ans,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
62,G11.2,Ataxie cérébelleuse tardive,VI,4,sous_categorie,E,NOTE,Début habituellement après l'âge de 20 ans,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
609,G30.0,Maladie d'Alzheimer à début précoce,VI,4,sous_categorie,E,NOTE,Début habituellement avant l'âge de 65 ans,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
610,G30.1,Maladie d'Alzheimer à début tardif,VI,4,sous_categorie,E,NOTE,Début habituellement après l'âge de 65 ans,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
83,G81,Hémiplégie,VI,3,categorie,E,NOTE,Cette catégorie ne doit être utilisée comme cause principale de codage que lorsque l'hémiplégie (complète) (incomplète) est mentionnée sans autre précision ou est définie comme ancienne ou de longue durée mais de cause non précisée. Cette catégorie peut être aussi utilisée en codage multiple pour identifier les types d'hémiplégie résultant d'une cause quelle qu'elle soit.,false,"",convention_classement,non_rendue,convention de classement (source E) — bruit probable en fiche (leçon ANT-01),false,"",v1
