code,chapter,filepath,libelle,has_perimetre,has_localisations,has_exclusions,has_consignes,has_formulations,type_mco,statut_mco,source_existence,nb_chars
F02.422,V,V/F02.422.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,749
F02.43,V,V/F02.43.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - "" avec d’autres symptômes, essentiellement dépressifs """,true,false,true,false,false,0,codable,OWL_ANS,733
F02.430,V,V/F02.430.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,744
F02.431,V,V/F02.431.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,745
F02.432,V,V/F02.432.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,744
F02.44,V,V/F02.44.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - "" avec d’autres symptômes, mixtes """,true,false,true,false,false,0,codable,OWL_ANS,713
F02.440,V,V/F02.440.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, mixtes"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,724
F02.441,V,V/F02.441.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, mixtes"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,725
F02.442,V,V/F02.442.md,"Démence de la maladie due au virus de l'immunodéficience humaine [VIH] (B22.0)   - ""avec d’autres symptômes, mixtes"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,724
F02.8,V,V/F02.8.md,Démence au cours d'autres maladies classées ailleurs,true,false,true,false,true,0,codable,OWL_ANS,1770
F02.80,V,V/F02.80.md,"Démence au cours d'autres maladies classées ailleurs - "" sans symptôme supplémentaire """,true,false,true,false,false,0,codable,OWL_ANS,1250
F02.800,V,V/F02.800.md,"Démence au cours d'autres maladies classées ailleurs - ""sans symptôme supplémentaire"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,1261
F02.801,V,V/F02.801.md,"Démence au cours d'autres maladies classées ailleurs - ""sans symptôme supplémentaire"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,1262
F02.802,V,V/F02.802.md,"Démence au cours d'autres maladies classées ailleurs - ""sans symptôme supplémentaire"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,1261
F02.81,V,V/F02.81.md,"Démence au cours d'autres maladies classées ailleurs - "" avec d’autres symptômes, essentiellement délirants """,true,false,true,false,false,0,codable,OWL_ANS,1272
F02.810,V,V/F02.810.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement délirants"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,1283
F02.811,V,V/F02.811.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,1284
F02.812,V,V/F02.812.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,1283
F02.82,V,V/F02.82.md,"Démence au cours d'autres maladies classées ailleurs - "" avec d’autres symptômes, essentiellement hallucinatoires """,true,false,true,false,false,0,codable,OWL_ANS,1278
F02.820,V,V/F02.820.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,1289
F02.821,V,V/F02.821.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,1290
F02.822,V,V/F02.822.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,1289
F02.83,V,V/F02.83.md,"Démence au cours d'autres maladies classées ailleurs - "" avec d’autres symptômes, essentiellement dépressifs """,true,false,true,false,false,0,codable,OWL_ANS,1273
F02.830,V,V/F02.830.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,1284
F02.831,V,V/F02.831.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,1285
F02.832,V,V/F02.832.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,1284
F02.84,V,V/F02.84.md,"Démence au cours d'autres maladies classées ailleurs - "" avec d’autres symptômes, mixtes """,true,false,true,false,false,0,codable,OWL_ANS,1253
F02.840,V,V/F02.840.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, mixtes"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,1264
F02.841,V,V/F02.841.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, mixtes"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,1265
F02.842,V,V/F02.842.md,"Démence au cours d'autres maladies classées ailleurs - ""avec d’autres symptômes, mixtes"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,1264
F03,V,V/F03.md,"Démence, sans précision",true,false,true,false,true,0,codable,OWL_ANS,1263
F03+0,V,V/F03+0.md,"Démence, sans précision - "" sans symptôme supplémentaire """,true,false,true,false,false,0,codable,OWL_ANS,935
F03+00,V,V/F03+00.md,"Démence, sans précision - ""sans symptôme supplémentaire"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,946
F03+01,V,V/F03+01.md,"Démence, sans précision - ""sans symptôme supplémentaire"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,947
F03+02,V,V/F03+02.md,"Démence, sans précision - ""sans symptôme supplémentaire"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,946
F03+1,V,V/F03+1.md,"Démence, sans précision - "" avec d’autres symptômes, essentiellement délirants """,true,false,true,false,false,0,codable,OWL_ANS,957
F03+10,V,V/F03+10.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,968
F03+11,V,V/F03+11.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,969
F03+12,V,V/F03+12.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,968
F03+2,V,V/F03+2.md,"Démence, sans précision - "" avec d’autres symptômes, essentiellement hallucinatoires """,true,false,true,false,false,0,codable,OWL_ANS,963
F03+20,V,V/F03+20.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,974
F03+21,V,V/F03+21.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,975
F03+22,V,V/F03+22.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,974
F03+3,V,V/F03+3.md,"Démence, sans précision - "" avec d’autres symptômes, essentiellement dépressifs """,true,false,true,false,false,0,codable,OWL_ANS,958
F03+30,V,V/F03+30.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,969
F03+31,V,V/F03+31.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,970
F03+32,V,V/F03+32.md,"Démence, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère""",true,false,true,false,false,0,codable,OWL_ANS,969
F03+4,V,V/F03+4.md,"Démence, sans précision - "" avec d’autres symptômes, mixtes """,true,false,true,false,false,0,codable,OWL_ANS,938
F03+40,V,V/F03+40.md,"Démence, sans précision - ""avec d’autres symptômes, mixtes"" - ""légère""",true,false,true,false,false,0,codable,OWL_ANS,949
F03+41,V,V/F03+41.md,"Démence, sans précision - ""avec d’autres symptômes, mixtes"" - ""moyenne""",true,false,true,false,false,0,codable,OWL_ANS,950
