code_maitre,cle,classe,sous_classe,code_atih,libelle
F00.132,F00132,connu de l'ATIH,type MCO 0,F00132,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F00.140,F00140,connu de l'ATIH,type MCO 0,F00140,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, mixtes"" - ""légère"""
F00.141,F00141,connu de l'ATIH,type MCO 0,F00141,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F00.142,F00142,connu de l'ATIH,type MCO 0,F00142,"Démence de la maladie d'Alzheimer, à début tardif (G30.1)   - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F00.200,F00200,connu de l'ATIH,type MCO 0,F00200,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""sans symptôme supplémentaire"" - ""légère"""
F00.201,F00201,connu de l'ATIH,type MCO 0,F00201,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""sans symptôme supplémentaire"" - ""moyenne"""
F00.202,F00202,connu de l'ATIH,type MCO 0,F00202,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""sans symptôme supplémentaire"" - ""sévère"""
F00.210,F00210,connu de l'ATIH,type MCO 0,F00210,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F00.211,F00211,connu de l'ATIH,type MCO 0,F00211,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F00.212,F00212,connu de l'ATIH,type MCO 0,F00212,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F00.220,F00220,connu de l'ATIH,type MCO 0,F00220,"Démence de la maladie d'Alzheimer, forme atypique ou mixte (G30.8)   - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
