code_atih,type_mco,libelle_long,classe,sous_classe,code_maitre,ancetre_maitre
A229,0,"Charbon, sans précision",fiche (écriture directe),"",A22.9,""
A230,0,Brucellose à Brucella melitensis,fiche (écriture directe),"",A23.0,""
A231,0,Brucellose à Brucella abortus,fiche (écriture directe),"",A23.1,""
A232,0,Brucellose à Brucella suis,fiche (écriture directe),"",A23.2,""
A233,0,Brucellose à Brucella canis,fiche (écriture directe),"",A23.3,""
A238,0,Autres brucelloses,fiche (écriture directe),"",A23.8,""
A239,0,"Brucellose, sans précision",fiche (écriture directe),"",A23.9,""
A240,0,Morve,fiche (écriture directe),"",A24.0,""
A241,0,Mélioïdose aiguë et galopante,fiche (écriture directe),"",A24.1,""
A242,0,Mélioïdose subaiguë et chronique,fiche (écriture directe),"",A24.2,""
A243,0,Autres mélioïdoses,fiche (écriture directe),"",A24.3,""
A244,0,"Mélioïdose, sans précision",fiche (écriture directe),"",A24.4,""
A250,0,Spirillose,fiche (écriture directe),"",A25.0,""
A251,0,Streptobacillose,fiche (écriture directe),"",A25.1,""
A259,0,"Fièvre causée par morsure de rat, sans précision",fiche (écriture directe),"",A25.9,""
A260,0,Érysipéloïde cutanée,fiche (écriture directe),"",A26.0,""
A267,0,Sepsis à Erysipelothrix,fiche (écriture directe),"",A26.7,""
A268,0,Autres formes d'érysipéloïde,fiche (écriture directe),"",A26.8,""
A269,0,"Érysipéloïde, sans précision",fiche (écriture directe),"",A26.9,""
A270,0,Leptospirose ictéro-hémorragique,fiche (écriture directe),"",A27.0,""
A278,0,Autres formes de leptospirose,fiche (écriture directe),"",A27.8,""
A279,0,"Leptospirose, sans précision",fiche (écriture directe),"",A27.9,""
A280,0,Pasteurellose,fiche (écriture directe),"",A28.0,""
A281,0,Maladie des griffes du chat,fiche (écriture directe),"",A28.1,""
A282,0,Yersiniose extra-intestinale,fiche (écriture directe),"",A28.2,""
A288,0,"Autres anthropozoonoses bactériennes précisées, non classées ailleurs",fiche (écriture directe),"",A28.8,""
A289,1,"Anthropozoonose bactérienne, sans précision",fiche (écriture directe),"",A28.9,""
A300,0,Lèpre indéterminée,fiche (écriture directe),"",A30.0,""
A301,0,Lèpre tuberculoïde,fiche (écriture directe),"",A30.1,""
A302,0,Lèpre tuberculoïde de type intermédiaire atypique,fiche (écriture directe),"",A30.2,""
A303,0,Lèpre de type intermédiaire atypique,fiche (écriture directe),"",A30.3,""
A304,0,Lèpre lépromateuse de type intermédiaire atypique,fiche (écriture directe),"",A30.4,""
A305,0,Lèpre lépromateuse,fiche (écriture directe),"",A30.5,""
A308,0,Autres formes de lèpre,fiche (écriture directe),"",A30.8,""
A309,0,"Lèpre, sans précision",fiche (écriture directe),"",A30.9,""
A310,0,Infection pulmonaire à mycobactéries atypiques,fiche (écriture directe),"",A31.0,""
A311,0,Infection cutanée à mycobacteries atypiques,fiche (écriture directe),"",A31.1,""
A318,0,Autres infections à mycobacteries atypiques,fiche (écriture directe),"",A31.8,""
A319,0,"Infection à mycobacteries atypiques, sans précision",fiche (écriture directe),"",A31.9,""
A320,0,Listériose cutanée,fiche (écriture directe),"",A32.0,""
A321,0,Méningite et méningo-encéphalite listériennes,fiche (écriture directe),"",A32.1,""
A327,0,Sepsis à Listeria,fiche (écriture directe),"",A32.7,""
A328,0,Autres formes de listériose,fiche (écriture directe),"",A32.8,""
A329,0,"Listériose, sans précision",fiche (écriture directe),"",A32.9,""
A33,0,Tétanos néonatal,fiche (écriture directe),"",A33,""
A34,0,Tétanos obstétrical,fiche (écriture directe),"",A34,""
A35,0,Autres formes de tétanos,fiche (écriture directe),"",A35,""
A360,0,Diphtérie pharyngée,fiche (écriture directe),"",A36.0,""
A361,0,Diphtérie rhinopharyngée,fiche (écriture directe),"",A36.1,""
A362,0,Diphtérie laryngée,fiche (écriture directe),"",A36.2,""
A363,0,Diphtérie cutanée,fiche (écriture directe),"",A36.3,""
A368,0,Autres formes de diphtérie,fiche (écriture directe),"",A36.8,""
A369,0,"Diphtérie, sans précision",fiche (écriture directe),"",A36.9,""
A370,0,Coqueluche à Bordetella pertussis,fiche (écriture directe),"",A37.0,""
A371,0,Coqueluche à Bordetella parapertussis,fiche (écriture directe),"",A37.1,""
A378,0,Coqueluche due à d'autres espèces de Bordetella,fiche (écriture directe),"",A37.8,""
A379,0,"Coqueluche, sans précision",fiche (écriture directe),"",A37.9,""
A38,0,Scarlatine,fiche (écriture directe),"",A38,""
A390,0,Méningite à méningocoques (G01*),fiche (écriture directe),"",A39.0,""
