association_id,dagger_code,dagger_label,asterisk_code,asterisk_label,combination_labels,levels_present,redundancy_level,source_lids
608,I61,hémorragie intracérébrale,G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
609,I61,hémorragie intracérébrale,G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
610,I61,hémorragie intracérébrale,G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
611,I61,hémorragie intracérébrale,G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
612,I61,hémorragie intracérébrale,G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
613,I61,hémorragie intracérébrale,G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
614,I61,hémorragie intracérébrale,G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
615,I62,autres hémorragies intracrâniennes non traumatiques,G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
616,I62,autres hémorragies intracrâniennes non traumatiques,G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
617,I62,autres hémorragies intracrâniennes non traumatiques,G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
618,I62,autres hémorragies intracrâniennes non traumatiques,G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
619,I62,autres hémorragies intracrâniennes non traumatiques,G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
620,I62,autres hémorragies intracrâniennes non traumatiques,G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
621,I62,autres hémorragies intracrâniennes non traumatiques,G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
622,I63,infarctus cérébral,G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
623,I63,infarctus cérébral,G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
624,I63,infarctus cérébral,G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
625,I63,infarctus cérébral,G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
626,I63,infarctus cérébral,G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
627,I63,infarctus cérébral,G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
628,I63,infarctus cérébral,G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
629,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
630,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
631,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
632,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
633,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
634,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
635,I64,"accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
636,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
637,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
638,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
639,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
640,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
641,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
642,I65,"occlusion et sténose des artères précérébrales, n'entraînant pas un infarctus cérébral",G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
643,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
644,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
645,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
646,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
647,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
648,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
649,I66,"occlusion et sténose des artères cérébrales, n'entraînant pas un infarctus cérébral",G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
650,I66.0,occlusion et sténose de l'artère cérébrale moyenne,G46.0,syndrome de l'artère cérébrale moyenne,syndrome de l'artère cérébrale moyenne,G,independent,3487
651,I66.1,occlusion et sténose de l'artère cérébrale antérieure,G46.1,syndrome de l'artère cérébrale antérieure,syndrome de l'artère cérébrale antérieure,G,independent,3488
652,I66.2,occlusion et sténose de l'artère cérébrale postérieure,G46.2,syndrome de l'artère cérébrale postérieure,syndrome de l'artère cérébrale postérieure,G,independent,3489
653,I67,autres maladies cérébrovasculaires,G46,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3486
654,I67,autres maladies cérébrovasculaires,G46.3,syndromes vasculaires du tronc cérébral,syndromes vasculaires du tronc cérébral,G,independent,3490
655,I67,autres maladies cérébrovasculaires,G46.4,syndrome cérébelleux vasculaire,syndrome cérébelleux vasculaire,G,independent,3491
656,I67,autres maladies cérébrovasculaires,G46.5,syndrome lacunaire moteur pur,syndrome lacunaire moteur pur,G,independent,3492
657,I67,autres maladies cérébrovasculaires,G46.6,syndrome lacunaire sensitif pur,syndrome lacunaire sensitif pur,G,independent,3493
658,I67,autres maladies cérébrovasculaires,G46.7,autres syndromes lacunaires,autres syndromes lacunaires,G,independent,3494
659,I67,autres maladies cérébrovasculaires,G46.8,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires,G,independent,3495
660,I70.8,athérosclérose d'autres artères,H36.8,autres affections rétiniennes au cours de maladies classées ailleurs,rétinopathie athéroscléreuse,H,independent,15890
661,J09,"grippe, à virus aviaire identifié",G05.1,"encéphalite, myélite et encéphalomyélite au cours d'infections virales classées ailleurs","encéphalite, myélite ou encéphalomyélite (au cours de) (consécutive à) (due à) grippe",H,independent,15337
662,J09,"grippe, à virus aviaire identifié",H67.1,otite moyenne au cours de maladies virales classées ailleurs,otite moyenne au cours de grippe,H,independent,16083
663,J09,"grippe, à virus aviaire identifié",I41.1,myocardite au cours de maladies virales classées ailleurs,myocardite grippale (aiguë) grippe aviaire virus identifié,H,independent,70603
664,J10,"grippe, à autre virus grippal identifié",H67.1,otite moyenne au cours de maladies virales classées ailleurs,otite moyenne au cours de grippe,H,independent,16083
665,J10.8,"grippe avec d'autres manifestations, autre virus grippal identifié",G05.1,"encéphalite, myélite et encéphalomyélite au cours d'infections virales classées ailleurs","encéphalite, myélite ou encéphalomyélite (au cours de) (consécutive à) (due à) grippe",H,independent,15337
666,J10.8,"grippe avec d'autres manifestations, autre virus grippal identifié",I41.1,myocardite au cours de maladies virales classées ailleurs,myocardite grippale (aiguë) autre virus identifié,H,independent,16314
667,J11,"grippe, virus non identifié",H67.1,otite moyenne au cours de maladies virales classées ailleurs,otite moyenne au cours de grippe,H,independent,16083
668,J11.8,"grippe avec d'autres manifestations, virus non identifié",G05.1,"encéphalite, myélite et encéphalomyélite au cours d'infections virales classées ailleurs","encéphalite, myélite ou encéphalomyélite (au cours de) (consécutive à) (due à) grippe",H,independent,15337
669,J11.8,"grippe avec d'autres manifestations, virus non identifié",I41.1,myocardite au cours de maladies virales classées ailleurs,myocardite grippale (aiguë) virus non identifié,H,independent,16315
670,J63.2,bérylliose,K77.8,atteintes hépatiques au cours d'autres maladies classées ailleurs,granulomes hépatiques au cours de bérylliose,H,independent,17334
671,K50,maladie de Crohn [entérite régionale],M07.4,arthropathie au cours de la maladie de Crohn [entérite régionale],arthropathie au cours de la maladie de Crohn [entérite régionale],G,independent,5391
672,K50,maladie de Crohn [entérite régionale],M09.1,polyarthrite juvénile au cours de la maladie de Crohn [entérite régionale],polyarthrite juvénile au cours de la maladie de Crohn [entérite régionale],G,independent,5404
673,K51,recto-colite hémorragique [colite ulcéreuse],M07.5,arthropathie au cours de colite ulcéreuse,arthropathie au cours de colite ulcéreuse,G,independent,5392
674,K51,recto-colite hémorragique [colite ulcéreuse],M09.2,polyarthrite juvénile au cours de colite ulcéreuse,polyarthrite juvénile au cours de colite ulcéreuse,G,independent,5405
675,K70,maladie alcoolique du foie,I98.2,varices oesophagiennes au cours de maladies classées ailleurs,varices oesophagiennes au cours de maladies du foie,H,independent,16515
676,K71,maladie toxique du foie,I98.2,varices oesophagiennes au cours de maladies classées ailleurs,varices oesophagiennes au cours de maladies du foie,H,independent,16515
677,K74,fibrose et cirrhose du foie,I98.2,varices oesophagiennes au cours de maladies classées ailleurs,varices oesophagiennes au cours de maladies du foie,H,independent,16515
678,K90.8,autres malabsorptions intestinales,M14.8,arthropathie au cours d'autres maladies précisées classées ailleurs,maladie de Whipple | arthropathie au cours de maladie de Whipple,"H,U",independent,"17439,18376"
679,L01,impétigo,H62.4,otite externe au cours d'autres maladies classées ailleurs,otite externe au cours d'impétigo,H,independent,16047
680,L01.0,impétigo [tout micro-organisme] [toute localisation],H03.8,atteinte de la paupière au cours d'autres maladies classées ailleurs,atteinte de la paupière au cours d'impétigo,H,independent,15656
681,L12,pemphigoïde,H13.3,pemphigoïde oculaire,pemphigoïde oculaire,G,independent,3789
682,L40.5,psoriasis arthropathique,M07.0,arthropathie psoriasique distale interphalangienne,arthropathie psoriasique distale interphalangienne | psoriasis arthropathique,"G,T",independent,"5387,6336"
683,L40.5,psoriasis arthropathique,M07.1,arthrite mutilante,arthrite mutilante | psoriasis arthropathique,"G,T",independent,"5388,6336"
684,L40.5,psoriasis arthropathique,M07.2,spondylite psoriasique,spondylite psoriasique | psoriasis arthropathique,"G,T",independent,"5389,6336"
685,L40.5,psoriasis arthropathique,M07.3,autres arthropathies psoriasiques,autres arthropathies psoriasiques | psoriasis arthropathique,"G,T",independent,"5390,6336"
686,L40.5,psoriasis arthropathique,M09.0,polyarthrite juvénile au cours de psoriasis,polyarthrite juvénile au cours de psoriasis | psoriasis arthropathique,"G,T",independent,"5403,6336"
687,L51,érythème polymorphe,M14.8,arthropathie au cours d'autres maladies précisées classées ailleurs,arthropathie au cours de érythème polymorphe,H,independent,18375
688,L52,érythème noueux,M14.8,arthropathie au cours d'autres maladies précisées classées ailleurs,arthropathie au cours de érythème noueux,H,independent,18374
689,M05,polyarthrite rhumatoïde séropositive,G73.7,myopathie au cours d'autres maladies classées ailleurs,myopathie au cours de polyarthrite rhumatoïde,H,independent,15586
690,M05.1,maladie pulmonaire rhumatoïde,J99.0,maladie pulmonaire rhumatoïde,maladie pulmonaire rhumatoïde,"G,T",independent,"4866,5373"
