code,chapter,filepath,libelle,n_enfants,has_perimetre,has_exclusions,has_formulations,type_mco,statut_mco,nb_chars
D07,II,II/D07.md,"Carcinome in situ d'organes génitaux, autres et non précisés",7,true,true,true,3,pere_interdit,2199
D09,II,II/D09.md,Carcinome in situ de sièges autres et non précisés,6,true,true,true,3,pere_interdit,1821
D10,II,II/D10.md,Tumeur bénigne de la bouche et du pharynx,9,true,true,true,3,pere_interdit,2363
D11,II,II/D11.md,Tumeur bénigne des glandes salivaires principales,3,true,true,true,3,pere_interdit,1529
D12,II,II/D12.md,"Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal",10,true,true,true,3,pere_interdit,2104
D13,II,II/D13.md,Tumeurs bénignes de parties autres et mal définies de l'appareil digestif,9,true,true,true,3,pere_interdit,2116
D14,II,II/D14.md,Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire,5,true,true,true,3,pere_interdit,2068
D15,II,II/D15.md,"Tumeur bénigne des organes intrathoraciques, autres et non précisés",5,true,true,true,3,pere_interdit,1503
D16,II,II/D16.md,Tumeur bénigne des os et du cartilage articulaire,10,true,true,true,3,pere_interdit,2769
D17,II,II/D17.md,Tumeur lipomateuse bénigne,9,true,true,true,3,pere_interdit,2435
D18,II,II/D18.md,"Hémangiome et lymphangiome, tout siège",2,true,true,true,3,pere_interdit,2366
D19,II,II/D19.md,Tumeur bénigne du tissu mésothélial,4,true,false,true,3,pere_interdit,852
D20,II,II/D20.md,Tumeur bénigne des tissus mous du rétropéritoine et du péritoine,2,true,true,true,3,pere_interdit,835
D21,II,II/D21.md,Autres tumeurs bénignes du tissu conjonctif et des autres tissus mous,8,true,true,true,3,pere_interdit,4143
D22,II,II/D22.md,Nævus à mélanocytes,9,true,false,true,3,pere_interdit,2516
D23,II,II/D23.md,Autres tumeurs bénignes de la peau,9,true,true,true,3,pere_interdit,3094
D24,II,II/D24.md,Tumeur bénigne du sein,0,true,true,true,0,codable,1243
D25,II,II/D25.md,Léiomyome de l'utérus,4,true,false,true,3,pere_interdit,1063
D26,II,II/D26.md,Autres tumeurs bénignes de l'utérus,4,true,false,true,3,pere_interdit,782
D27,II,II/D27.md,Tumeur bénigne de l'ovaire,0,true,false,true,0,codable,1398
D28,II,II/D28.md,"Tumeur bénigne des organes génitaux de la femme, autres et non précisés",5,true,false,true,3,pere_interdit,1047
D29,II,II/D29.md,Tumeur bénigne des organes génitaux de l'homme,7,true,true,true,3,pere_interdit,1860
D30,II,II/D30.md,Tumeur bénigne des organes urinaires,7,true,true,true,3,pere_interdit,2069
D31,II,II/D31.md,Tumeur bénigne de l'œil et de ses annexes,8,true,true,true,3,pere_interdit,1958
D32,II,II/D32.md,Tumeur bénigne des méninges,3,true,false,true,3,pere_interdit,1319
D33,II,II/D33.md,Tumeur bénigne de l'encéphale et d'autres parties du système nerveux central,7,true,true,true,3,pere_interdit,2424
D34,II,II/D34.md,Tumeur bénigne de la thyroïde,0,true,false,true,0,codable,625
D35,II,II/D35.md,"Tumeur bénigne des glandes endocrines, autres et non précisées",10,true,true,true,3,pere_interdit,2792
D36,II,II/D36.md,Tumeur bénigne de sièges autres et non précisés,4,true,true,true,3,pere_interdit,1703
D37,II,II/D37.md,Tumeur de la cavité buccale et des organes digestifs à évolution imprévisible ou inconnue,9,true,true,true,3,pere_interdit,2786
D38,II,II/D38.md,Tumeur de l'oreille moyenne et des organes respiratoires et intrathoraciques à évolution imprévisible ou inconnue,7,true,true,true,3,pere_interdit,2492
D39,II,II/D39.md,Tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue,5,true,true,true,3,pere_interdit,2163
D40,II,II/D40.md,Tumeur des organes génitaux de l'homme à évolution imprévisible ou inconnue,4,true,false,true,3,pere_interdit,1325
D41,II,II/D41.md,Tumeur des organes urinaires à évolution imprévisible ou inconnue,7,false,true,true,3,pere_interdit,1705
D42,II,II/D42.md,Tumeur des méninges à évolution imprévisible ou inconnue,3,false,false,true,3,pere_interdit,1117
D43,II,II/D43.md,Tumeur de l'encéphale et du système nerveux central à évolution imprévisible ou inconnue,7,true,true,true,3,pere_interdit,2575
D44,II,II/D44.md,Tumeur des glandes endocrines à évolution imprévisible ou inconnue,10,true,true,true,3,pere_interdit,2688
D45,II,II/D45.md,Polyglobulie essentielle,0,true,false,true,0,codable,1189
D46,II,II/D46.md,Syndromes myélodysplasiques,8,true,true,true,3,pere_interdit,2420
D47,II,II/D47.md,"Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à évolution imprévisible ou inconnue",8,true,true,true,3,pere_interdit,3994
D48,II,II/D48.md,Tumeur de sièges autres et non précisés à évolution imprévisible ou inconnue,9,true,true,true,3,pere_interdit,4021
D50,III,III/D50.md,Anémie par carence en fer,4,true,true,true,3,pere_interdit,3201
D51,III,III/D51.md,Anémie par carence en vitamine B_12,6,true,true,true,3,pere_interdit,3369
D52,III,III/D52.md,Anémie par carence en acide folique,4,true,true,true,3,pere_interdit,2306
D53,III,III/D53.md,Autres anémies nutritionnelles,5,true,true,true,3,pere_interdit,3164
D55,III,III/D55.md,Anémie due à des anomalies enzymatiques,6,true,true,true,3,pere_interdit,2950
D56,III,III/D56.md,Thalassémie,7,true,true,true,3,pere_interdit,3247
D57,III,III/D57.md,Affections à hématies falciformes [drépanocytaires],5,true,true,true,3,pere_interdit,3888
D58,III,III/D58.md,Autres anémies hémolytiques héréditaires,5,true,true,true,3,pere_interdit,3635
D59,III,III/D59.md,Anémie hémolytique acquise,9,true,true,true,3,pere_interdit,4675
D60,III,III/D60.md,Aplasie médullaire acquise pure des globules rouges [érythroblastopénie],4,true,true,true,3,pere_interdit,1874
D61,III,III/D61.md,Autres aplasies médullaires,6,true,true,true,3,pere_interdit,3589
D62,III,III/D62.md,Anémie posthémorragique aigüe,0,false,true,true,0,codable,1603
D63,III,III/D63.md,Anémie au cours de maladies chroniques classées ailleurs,2,true,true,true,3,pere_interdit,1436
D64,III,III/D64.md,Autres anémies,7,true,true,true,3,pere_interdit,3788
D65,III,III/D65.md,Coagulation intravasculaire disséminée [syndrome de défibrination],0,true,true,true,0,codable,2798
D66,III,III/D66.md,Carence héréditaire en facteur VIII,0,true,true,true,0,codable,1754
D67,III,III/D67.md,Carence héréditaire en facteur IX,0,true,true,true,0,codable,1558
D68,III,III/D68.md,Autres anomalies de la coagulation,9,true,true,true,3,pere_interdit,6168
D69,III,III/D69.md,Purpura et autres affections hémorragiques,9,true,true,true,3,pere_interdit,5152
D70,III,III/D70.md,Agranulocytose,0,true,true,true,0,codable,2862
D71,III,III/D71.md,Anomalies fonctionnelles des granulocytes neutrophiles,0,true,true,true,0,codable,1676
D72,III,III/D72.md,Autres anomalies des leucocytes,4,true,true,true,3,pere_interdit,4393
D73,III,III/D73.md,Maladies de la rate,8,true,true,true,3,pere_interdit,3202
D74,III,III/D74.md,Méthémoglobinémie,3,true,true,true,3,pere_interdit,2184
D75,III,III/D75.md,Autres maladies du sang et des organes hématopoïétiques,4,true,true,true,3,pere_interdit,4181
D76,III,III/D76.md,Autres maladies précisées avec participation des tissus lymphoréticulaire et réticulohistiocytaire,3,true,true,true,3,pere_interdit,3528
D77,III,III/D77.md,Autres maladies du sang et des organes hématopoïétiques au cours de maladies classées ailleurs,0,true,true,false,0,codable,1278
D80,III,III/D80.md,Déficit immunitaire avec déficit prédominant de la production d'anticorps,10,true,true,true,3,pere_interdit,4654
D81,III,III/D81.md,Déficits immunitaires combinés,10,true,true,true,3,pere_interdit,3720
D82,III,III/D82.md,Déficit immunitaire associé à d'autres anomalies majeures,7,true,true,true,3,pere_interdit,3541
D83,III,III/D83.md,Déficit immunitaire commun variable,5,true,true,true,3,pere_interdit,2562
D84,III,III/D84.md,Autres déficits immunitaires,4,true,true,true,3,pere_interdit,3368
D86,III,III/D86.md,Sarcoïdose,6,true,true,true,3,pere_interdit,4462
D89,III,III/D89.md,"Autres anomalies du système immunitaire, non classées ailleurs",6,true,true,true,3,pere_interdit,4695
E00,IV,IV/E00.md,Syndrome d'insuffisance thyroïdienne congénitale,4,true,true,true,3,pere_interdit,2789
E01,IV,IV/E01.md,Affections thyroïdiennes et apparentées liées à une carence en iode,4,true,true,true,3,pere_interdit,1438
E02,IV,IV/E02.md,Hypothyroïdie par carence inapparente en iode,0,false,true,true,0,codable,734
E03,IV,IV/E03.md,Autres hypothyroïdies,8,true,true,true,3,pere_interdit,3504
E04,IV,IV/E04.md,Autres goitres non toxiques,5,true,true,true,3,pere_interdit,3079
E05,IV,IV/E05.md,Thyréotoxicose [hyperthyroïdie],8,true,true,true,3,pere_interdit,3270
E06,IV,IV/E06.md,Thyroïdite,7,true,true,true,3,pere_interdit,3670
E07,IV,IV/E07.md,Autres affections de la thyroïde,4,true,true,true,3,pere_interdit,2896
E10,IV,IV/E10.md,Diabète sucré de type 1,10,true,true,true,3,pere_interdit,5095
E11,IV,IV/E11.md,Diabète sucré de type 2,10,true,true,false,3,pere_interdit,2980
E12,IV,IV/E12.md,Diabète sucré de malnutrition,10,true,true,true,3,pere_interdit,3756
E13,IV,IV/E13.md,Autres diabètes sucrés précisés,10,true,true,true,3,pere_interdit,4717
E14,IV,IV/E14.md,"Diabète sucré, sans précision",10,true,true,true,3,pere_interdit,5223
E15,IV,IV/E15.md,Coma hypoglycémique non diabétique,0,true,true,true,0,codable,1285
E16,IV,IV/E16.md,Autres anomalies de la sécrétion pancréatique interne,7,true,true,true,3,pere_interdit,3917
E20,IV,IV/E20.md,Hypoparathyroïdie,4,true,true,true,3,pere_interdit,2061
E21,IV,IV/E21.md,Hyperparathyroïdie et autres maladies de la glande parathyroïde,6,true,true,true,3,pere_interdit,2782
E22,IV,IV/E22.md,Hypersécrétion de l'hypophyse,5,true,true,true,3,pere_interdit,3089
