code,abbrev,label,type
W00.4,W004,chute de plain-pied due à la glace et la neige | rue ou route,category
W00.5,W005,chute de plain-pied due à la glace et la neige | zone de commerce et de service,category
W00.6,W006,chute de plain-pied due à la glace et la neige | local industriel et chantier de construction,category
W00.7,W007,chute de plain-pied due à la glace et la neige | exploitation agricole,category
W00.8,W008,chute de plain-pied due à la glace et la neige | autres lieux précisés,category
W00.9,W009,"chute de plain-pied due à la glace et la neige | lieu, sans précision",category
W01.0,W010,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | domicile",category
W01.1,W011,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | établissement collectif",category
W01.2,W012,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | école, autre institution et lieu d'administration publique",category
W01.3,W013,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | lieu de sport et d'athlétisme",category
W01.4,W014,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | rue ou route",category
W01.5,W015,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | zone de commerce et de service",category
W01.6,W016,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | local industriel et chantier de construction",category
W01.7,W017,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | exploitation agricole",category
W01.8,W018,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | autres lieux précisés",category
W01.9,W019,"chute de plain-pied résultant de glissade, faux-pas et trébuchement | lieu, sans précision",category
W02.0,W020,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | domicile",category
W02.1,W021,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | établissement collectif",category
W02.2,W022,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | école, autre institution et lieu d'administration publique",category
W02.3,W023,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | lieu de sport et d'athlétisme",category
W02.4,W024,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | rue ou route",category
W02.5,W025,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | zone de commerce et de service",category
W02.6,W026,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | local industriel et chantier de construction",category
W02.7,W027,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | exploitation agricole",category
W02.8,W028,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | autres lieux précisés",category
W02.9,W029,"chute impliquant des patins à glace, des skis, des patins à roulettes ou une planche à roulettes | lieu, sans précision",category
W03.0,W030,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | domicile",category
W03.1,W031,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | établissement collectif",category
W03.2,W032,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | école, autre institution et lieu d'administration publique",category
W03.3,W033,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | lieu de sport et d'athlétisme",category
W03.4,W034,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | rue ou route",category
W03.5,W035,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | zone de commerce et de service",category
W03.6,W036,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | local industriel et chantier de construction",category
W03.7,W037,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | exploitation agricole",category
W03.8,W038,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | autres lieux précisés",category
W03.9,W039,"autre chute de plain-pied due à une collision avec, ou une poussée par un tiers | lieu, sans précision",category
W04.0,W040,"chute, en étant porté ou soutenu par des tiers | domicile",category
W04.1,W041,"chute, en étant porté ou soutenu par des tiers | établissement collectif",category
W04.2,W042,"chute, en étant porté ou soutenu par des tiers | école, autre institution et lieu d'administration publique",category
W04.3,W043,"chute, en étant porté ou soutenu par des tiers | lieu de sport et d'athlétisme",category
W04.4,W044,"chute, en étant porté ou soutenu par des tiers | rue ou route",category
W04.5,W045,"chute, en étant porté ou soutenu par des tiers | zone de commerce et de service",category
W04.6,W046,"chute, en étant porté ou soutenu par des tiers | local industriel et chantier de construction",category
W04.7,W047,"chute, en étant porté ou soutenu par des tiers | exploitation agricole",category
W04.8,W048,"chute, en étant porté ou soutenu par des tiers | autres lieux précisés",category
W04.9,W049,"chute, en étant porté ou soutenu par des tiers | lieu, sans précision",category
W05.0,W050,chute d'un fauteuil roulant | domicile,category
W05.1,W051,chute d'un fauteuil roulant | établissement collectif,category
W05.2,W052,"chute d'un fauteuil roulant | école, autre institution et lieu d'administration publique",category
W05.3,W053,chute d'un fauteuil roulant | lieu de sport et d'athlétisme,category
W05.4,W054,chute d'un fauteuil roulant | rue ou route,category
W05.5,W055,chute d'un fauteuil roulant | zone de commerce et de service,category
W05.6,W056,chute d'un fauteuil roulant | local industriel et chantier de construction,category
W05.7,W057,chute d'un fauteuil roulant | exploitation agricole,category
W05.8,W058,chute d'un fauteuil roulant | autres lieux précisés,category
W05.9,W059,"chute d'un fauteuil roulant | lieu, sans précision",category
W06.0,W060,chute d'un lit | domicile,category
W06.1,W061,chute d'un lit | établissement collectif,category
W06.2,W062,"chute d'un lit | école, autre institution et lieu d'administration publique",category
W06.3,W063,chute d'un lit | lieu de sport et d'athlétisme,category
W06.4,W064,chute d'un lit | rue ou route,category
W06.5,W065,chute d'un lit | zone de commerce et de service,category
W06.6,W066,chute d'un lit | local industriel et chantier de construction,category
W06.7,W067,chute d'un lit | exploitation agricole,category
W06.8,W068,chute d'un lit | autres lieux précisés,category
W06.9,W069,"chute d'un lit | lieu, sans précision",category
W07.0,W070,chute d'une chaise | domicile,category
W07.1,W071,chute d'une chaise | établissement collectif,category
W07.2,W072,"chute d'une chaise | école, autre institution et lieu d'administration publique",category
W07.3,W073,chute d'une chaise | lieu de sport et d'athlétisme,category
W07.4,W074,chute d'une chaise | rue ou route,category
W07.5,W075,chute d'une chaise | zone de commerce et de service,category
W07.6,W076,chute d'une chaise | local industriel et chantier de construction,category
W07.7,W077,chute d'une chaise | exploitation agricole,category
W07.8,W078,chute d'une chaise | autres lieux précisés,category
W07.9,W079,"chute d'une chaise | lieu, sans précision",category
W08.0,W080,chute d'un autre meuble | domicile,category
W08.1,W081,chute d'un autre meuble | établissement collectif,category
W08.2,W082,"chute d'un autre meuble | école, autre institution et lieu d'administration publique",category
W08.3,W083,chute d'un autre meuble | lieu de sport et d'athlétisme,category
W08.4,W084,chute d'un autre meuble | rue ou route,category
W08.5,W085,chute d'un autre meuble | zone de commerce et de service,category
W08.6,W086,chute d'un autre meuble | local industriel et chantier de construction,category
W08.7,W087,chute d'un autre meuble | exploitation agricole,category
W08.8,W088,chute d'un autre meuble | autres lieux précisés,category
W08.9,W089,"chute d'un autre meuble | lieu, sans précision",category
W09.0,W090,chute du haut d'agrès équipant un terrain de jeux | domicile,category
W09.1,W091,chute du haut d'agrès équipant un terrain de jeux | établissement collectif,category
W09.2,W092,"chute du haut d'agrès équipant un terrain de jeux | école, autre institution et lieu d'administration publique",category
W09.3,W093,chute du haut d'agrès équipant un terrain de jeux | lieu de sport et d'athlétisme,category
W09.4,W094,chute du haut d'agrès équipant un terrain de jeux | rue ou route,category
W09.5,W095,chute du haut d'agrès équipant un terrain de jeux | zone de commerce et de service,category
W09.6,W096,chute du haut d'agrès équipant un terrain de jeux | local industriel et chantier de construction,category
W09.7,W097,chute du haut d'agrès équipant un terrain de jeux | exploitation agricole,category
W09.8,W098,chute du haut d'agrès équipant un terrain de jeux | autres lieux précisés,category
W09.9,W099,"chute du haut d'agrès équipant un terrain de jeux | lieu, sans précision",category
W10.0,W100,chute dans et d'un escalier et de marches | domicile,category
W10.1,W101,chute dans et d'un escalier et de marches | établissement collectif,category
W10.2,W102,"chute dans et d'un escalier et de marches | école, autre institution et lieu d'administration publique",category
W10.3,W103,chute dans et d'un escalier et de marches | lieu de sport et d'athlétisme,category
W10.4,W104,chute dans et d'un escalier et de marches | rue ou route,category
W10.5,W105,chute dans et d'un escalier et de marches | zone de commerce et de service,category
W10.6,W106,chute dans et d'un escalier et de marches | local industriel et chantier de construction,category
W10.7,W107,chute dans et d'un escalier et de marches | exploitation agricole,category
W10.8,W108,chute dans et d'un escalier et de marches | autres lieux précisés,category
W10.9,W109,"chute dans et d'un escalier et de marches | lieu, sans précision",category
W11.0,W110,chute sur ou d'une échelle | domicile,category
W11.1,W111,chute sur ou d'une échelle | établissement collectif,category
W11.2,W112,"chute sur ou d'une échelle | école, autre institution et lieu d'administration publique",category
W11.3,W113,chute sur ou d'une échelle | lieu de sport et d'athlétisme,category
W11.4,W114,chute sur ou d'une échelle | rue ou route,category
W11.5,W115,chute sur ou d'une échelle | zone de commerce et de service,category
W11.6,W116,chute sur ou d'une échelle | local industriel et chantier de construction,category
W11.7,W117,chute sur ou d'une échelle | exploitation agricole,category
W11.8,W118,chute sur ou d'une échelle | autres lieux précisés,category
W11.9,W119,"chute sur ou d'une échelle | lieu, sans précision",category
W12.0,W120,chute sur ou d'un échafaudage | domicile,category
W12.1,W121,chute sur ou d'un échafaudage | établissement collectif,category
W12.2,W122,"chute sur ou d'un échafaudage | école, autre institution et lieu d'administration publique",category
W12.3,W123,chute sur ou d'un échafaudage | lieu de sport et d'athlétisme,category
W12.4,W124,chute sur ou d'un échafaudage | rue ou route,category
W12.5,W125,chute sur ou d'un échafaudage | zone de commerce et de service,category
W12.6,W126,chute sur ou d'un échafaudage | local industriel et chantier de construction,category
W12.7,W127,chute sur ou d'un échafaudage | exploitation agricole,category
W12.8,W128,chute sur ou d'un échafaudage | autres lieux précisés,category
W12.9,W129,"chute sur ou d'un échafaudage | lieu, sans précision",category
W13.0,W130,chute du haut d'un bâtiment ou d'un autre ouvrage | domicile,category
W13.1,W131,chute du haut d'un bâtiment ou d'un autre ouvrage | établissement collectif,category
W13.2,W132,"chute du haut d'un bâtiment ou d'un autre ouvrage | école, autre institution et lieu d'administration publique",category
W13.3,W133,chute du haut d'un bâtiment ou d'un autre ouvrage | lieu de sport et d'athlétisme,category
W13.4,W134,chute du haut d'un bâtiment ou d'un autre ouvrage | rue ou route,category
W13.5,W135,chute du haut d'un bâtiment ou d'un autre ouvrage | zone de commerce et de service,category
W13.6,W136,chute du haut d'un bâtiment ou d'un autre ouvrage | local industriel et chantier de construction,category
W13.7,W137,chute du haut d'un bâtiment ou d'un autre ouvrage | exploitation agricole,category
W13.8,W138,chute du haut d'un bâtiment ou d'un autre ouvrage | autres lieux précisés,category
W13.9,W139,"chute du haut d'un bâtiment ou d'un autre ouvrage | lieu, sans précision",category
W14.0,W140,chute du haut d'un arbre | domicile,category
W14.1,W141,chute du haut d'un arbre | établissement collectif,category
W14.2,W142,"chute du haut d'un arbre | école, autre institution et lieu d'administration publique",category
W14.3,W143,chute du haut d'un arbre | lieu de sport et d'athlétisme,category
W14.4,W144,chute du haut d'un arbre | rue ou route,category
W14.5,W145,chute du haut d'un arbre | zone de commerce et de service,category
W14.6,W146,chute du haut d'un arbre | local industriel et chantier de construction,category
W14.7,W147,chute du haut d'un arbre | exploitation agricole,category
W14.8,W148,chute du haut d'un arbre | autres lieux précisés,category
W14.9,W149,"chute du haut d'un arbre | lieu, sans précision",category
W15.0,W150,chute d'une falaise | domicile,category
W15.1,W151,chute d'une falaise | établissement collectif,category
W15.2,W152,"chute d'une falaise | école, autre institution et lieu d'administration publique",category
W15.3,W153,chute d'une falaise | lieu de sport et d'athlétisme,category
W15.4,W154,chute d'une falaise | rue ou route,category
W15.5,W155,chute d'une falaise | zone de commerce et de service,category
W15.6,W156,chute d'une falaise | local industriel et chantier de construction,category
W15.7,W157,chute d'une falaise | exploitation agricole,category
W15.8,W158,chute d'une falaise | autres lieux précisés,category
W15.9,W159,"chute d'une falaise | lieu, sans précision",category
W16.0,W160,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | domicile,category
W16.1,W161,plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | établissement collectif,category
W16.2,W162,"plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion | école, autre institution et lieu d'administration publique",category
