code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
A02,inclusion,"infection ou intoxication alimentaire due à toute espèce de Salmonella, sauf S. typhi et S. paratyphi",,true,false
A04,exclusion,entérite tuberculeuse,"entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs
",false,true
A04,exclusion,intoxications bactériennes d'origine alimentaire,"entérite tuberculeuse [A18.3]
intoxications d'origine alimentaire classées ailleurs
",false,true
A04.6,exclusion,yersiniose extra-intestinale,"yersiniose extra-intestinale [A28.2]
",false,true
A05,exclusion,effets toxiques de denrées alimentaires nocives,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,infection à Escherichia coli,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,intoxication et infection alimentaires à Salmonella,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A05,exclusion,listériose,"effets toxiques de denrées alimentaires nocives [T61-T62]
infection à Escherichia coli [A04.0-A04.4]
intoxication et infection alimentaires à Salmonella [A02.-]
intoxication et infection d’origine alimentaire à Clostridium difficile [A04.7]
listériose [A32.-]
",false,true
A06,exclusion,autres maladies intestinales à protozoaires,"autres maladies intestinales à protozoaires [A07.-]
",false,true
A06,inclusion,infection à Entamoeba histolytica,,true,false
A08,exclusion,grippe avec atteinte gastro-intestinale,"grippe avec atteinte gastro-intestinale [J09]  [J10.8]  [J11.8]
",false,true
A09,exclusion,diarrhée non infectieuse,"diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A09,exclusion,diarrhée non infectieuse néonatale,"diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A09,exclusion,"maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés","diarrhée non infectieuse  [K52.9]  - du nouveau-né [P78.3] 
maladies dues à des bactéries, des protozoaires, des virus et d'autres agents infectieux précisés [A00-A08] 
",false,true
A15-A19,exclusion,pneumoconiose associée à une tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,silico-tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,séquelles de tuberculose,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,exclusion,tuberculose congénitale,"immunodéficience humaine virale [VIH] à l'origine de tuberculose [B20.0]
pneumoconiose associée à une tuberculose [J65]
séquelles de tuberculose [B90.-]
silicotuberculose [J65]
tuberculose congénitale [P37.0]
",false,true
A15-A19,inclusion,infections à Mycobacterium tuberculosis et Mycobacterium bovis,,true,false
A15.4,exclusion,précisée comme primo-infection,"précisée comme primo-infection [A15.7]
",false,true
A15.6,exclusion,"au cours d'une primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique","au cours d'une primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique [A15.7]
",false,true
A16.3,exclusion,précisée comme primo-infection,"précisée comme primo-infection [A16.7]
",false,true
A16.5,exclusion,primo-infection tuberculeuse de l'appareil respiratoire,"primo-infection tuberculeuse de l'appareil respiratoire [A16.7]
",false,true
A18.2,exclusion,adénopathie tuberculeuse trachéo-bronchique,"adénopathie tuberculeuse trachéobronchique [A15.4]  [A16.3]
tuberculose des ganglions :
 - intrathoraciques [A15.4]  [A16.3] 
 - mésentériques et rétropéritonéaux [A18.3] 
",false,true
A18.2,exclusion,tuberculose des ganglions intrathoraciques,"adénopathie tuberculeuse trachéobronchique [A15.4]  [A16.3]
tuberculose des ganglions :
 - intrathoraciques [A15.4]  [A16.3] 
 - mésentériques et rétropéritonéaux [A18.3] 
",false,true
A18.2,exclusion,tuberculose des ganglions mésentériques et rétropéritonéaux,"adénopathie tuberculeuse trachéobronchique [A15.4]  [A16.3]
tuberculose des ganglions :
 - intrathoraciques [A15.4]  [A16.3] 
 - mésentériques et rétropéritonéaux [A18.3] 
",false,true
A18.4,exclusion,lupus érythémateux,"lupus érythémateux  [L93.-]  - disséminé [M32.-] 
",false,true
A18.4,exclusion,lupus érythémateux disséminé,"lupus érythémateux  [L93.-]  - disséminé [M32.-] 
",false,true
A18.5,exclusion,lupus vulgaire de la paupière,"lupus vulgaire de la paupière [A18.4]
",false,true
A18.6,exclusion,mastoïdite tuberculeuse,"mastoïdite tuberculeuse [A18.0]
",false,true
A19,inclusion,polysérite tuberculeuse,"polysérite tuberculeuse
tuberculose :
 - disséminée
 - généralisée
",false,true
A19,inclusion,tuberculose disséminée,"polysérite tuberculeuse
tuberculose :
 - disséminée
 - généralisée
",false,true
A19,inclusion,tuberculose généralisée,"polysérite tuberculeuse
tuberculose :
 - disséminée
 - généralisée
",false,true
A20,inclusion,infection à Yersinia pseudotuberculosis subsp. pestis [Yersinia pestis],,true,false
A21,inclusion,fièvre (de) mouche du daim,"fièvre (de) :
 - mouche du daim
 - transmise par le lapin
infection à Francisella tularensis subsp. tularensis [Francisella tularensis]
",false,true
A21,inclusion,fièvre (de) transmise par le lapin,"fièvre (de) :
 - mouche du daim
 - transmise par le lapin
infection à Francisella tularensis subsp. tularensis [Francisella tularensis]
",false,true
A21,inclusion,infection à Francisella tularensis subsp. tularensis [Francisella tularensis],"fièvre (de) :
 - mouche du daim
 - transmise par le lapin
infection à Francisella tularensis subsp. tularensis [Francisella tularensis]
",false,true
A22,inclusion,infection à Bacillus anthracis,,true,false
A23,inclusion,fièvre (de) Malte,"fièvre (de) :
 - Malte
 - méditerranéenne
 - ondulante
",false,true
A23,inclusion,fièvre (de) méditerranéenne,"fièvre (de) :
 - Malte
 - méditerranéenne
 - ondulante
",false,true
A23,inclusion,fièvre (de) ondulante,"fièvre (de) :
 - Malte
 - méditerranéenne
 - ondulante
",false,true
A28.2,exclusion,entérite à Yersinia enterocolitica,"entérite à Yersinia enterocolitica [A04.6]
peste [A20.-]
",false,true
A28.2,exclusion,peste,"entérite à Yersinia enterocolitica [A04.6]
peste [A20.-]
",false,true
A30,exclusion,séquelles de lèpre,"séquelles de lèpre [B92]
",false,true
A30,inclusion,infection à Mycobacterium leprae,,true,false
A31,exclusion,lèpre,"lèpre [A30.-]
tuberculose [A15-A19]
",false,true
A31,exclusion,tuberculose,"lèpre [A30.-]
tuberculose [A15-A19]
",false,true
A32,exclusion,listériose néonatale (disséminée),"listériose du nouveau-né (disséminée) [P37.2]
",false,true
A32,inclusion,infection listérienne d'origine alimentaire,,true,false
A35,exclusion,tétanos néonatal,"tétanos :
 - du nouveau-né [A33] 
 - obstétrical [A34] 
",false,true
A35,exclusion,tétanos obstétrical,"tétanos :
 - du nouveau-né [A33] 
 - obstétrical [A34] 
",false,true
A36.3,exclusion,érythrasma,"érythrasma [L08.1]
",false,true
A38,exclusion,angine à streptocoques,"angine à streptocoques [J02.0]
",false,true
A40,exclusion,après un acte à visée diagnostique et thérapeutique,"après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,au cours de l'accouchement,"après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,"consécutive à avortement, grossesse extra-utérine ou molaire","après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,"consécutive à injection thérapeutique, perfusion ou transfusion","après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,consécutive à vaccination,"après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,néonatale,"après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A40,exclusion,puerpérale,"après un acte à visée diagnostique et thérapeutique [T81.4]
au cours de l'accouchement [O75.3]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
du nouveau-né [P36.0-P36.1] 
puerpéral [O85] 
",false,true
A41,exclusion,au cours de l'accouchement,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,bactériémie SAI,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,"consécutive à avortement, grossesse extra-utérine ou molaire","au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,"consécutive à injection thérapeutique, perfusion ou transfusion","au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,consécutive à vaccination,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,mélioïdose septicémique,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,peste septicémique,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) Candida,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) Erysipelothrix,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) actinomycosique,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) après un acte à visée diagnostique et thérapeutique,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) charbonneuse,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) gonocoques,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) listérienne,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) méningocoques,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) néonatale,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) puerpérale,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) streptocoques,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
A41,exclusion,septicémie (à) (au cours de) syndrome du choc toxique,"au cours de l'accouchement [O75.3]
bactériémie SAI [A49.9]
consécutif à :
 - avortement, grossesse extra-utérine ou molaire [O03-O07]  [O08.0] 
 - injection thérapeutique, perfusion ou transfusion [T80.2] 
 - vaccination [T88.0] 
mélioïdose septicémique [A24.1] 
peste septicémique [A20.7] 
- sepsis (à) (au cours de) :
 - actinomycosique [A42.7] 
 - après un acte à visée diagnostique et thérapeutique [T81.4] 
 - Candida [B37.7] 
 - charbonneux [A22.7] 
 - Erysipelothrix [A26.7] 
 - gonocoques [A54.8] 
 - listérien [A32.7] 
 - méningocoques [A39.2-A39.4] 
 - du nouveau-né [P36.-] 
 - puerpérale [O85] 
 - streptocoques [A40.-] 
 - syndrome du choc toxique [A48.3] 
 - tularémique [A21.7] 
 - virus de l'herpès [B00.7] 
yersiniose extra-intestinale [A28.2] 
",false,true
