code,type,texte_retenu,texte_alternatif_ans,libelles_identiques_apres_normalisation,difference_significative
F44.0,exclusion,amnésie rétrograde,"amnésie :
 - SAI [R41.3] 
 - antérograde [R41.1] 
 - postcritique chez les épileptiques [G40.-] 
 - rétrograde [R41.2] 
- syndrome amnésique :
 - dû à l'alcool ou d'autres substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique non alcoolique [F04] 
",false,true
F44.0,exclusion,syndrome amnésique induit par l'alcool ou d'autres substances psycho-actives,"amnésie :
 - SAI [R41.3] 
 - antérograde [R41.1] 
 - postcritique chez les épileptiques [G40.-] 
 - rétrograde [R41.2] 
- syndrome amnésique :
 - dû à l'alcool ou d'autres substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique non alcoolique [F04] 
",false,true
F44.0,exclusion,syndrome amnésique organique non alcoolique,"amnésie :
 - SAI [R41.3] 
 - antérograde [R41.1] 
 - postcritique chez les épileptiques [G40.-] 
 - rétrograde [R41.2] 
- syndrome amnésique :
 - dû à l'alcool ou d'autres substances psychoactives [F10-F19 avec le quatrième caractère .6] 
 - organique non alcoolique [F04] 
",false,true
F44.1,exclusion,fugue post-critique chez les épileptiques,"fugue postcritique chez les épileptiques [G40.-]
",false,true
F44.2,exclusion,stupeur  SAI,"stupeur :
 - SAI [R40.1] 
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - maniaque [F30.2] 
trouble catatonique organique [F06.1] 
",false,true
F44.2,exclusion,stupeur catatonique,"stupeur :
 - SAI [R40.1] 
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - maniaque [F30.2] 
trouble catatonique organique [F06.1] 
",false,true
F44.2,exclusion,stupeur dépressive,"stupeur :
 - SAI [R40.1] 
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - maniaque [F30.2] 
trouble catatonique organique [F06.1] 
",false,true
F44.2,exclusion,stupeur maniaque,"stupeur :
 - SAI [R40.1] 
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - maniaque [F30.2] 
trouble catatonique organique [F06.1] 
",false,true
F44.2,exclusion,trouble catatonique organique,"stupeur :
 - SAI [R40.1] 
 - catatonique [F20.2] 
 - dépressive [F31-F33] 
 - maniaque [F30.2] 
trouble catatonique organique [F06.1] 
",false,true
F44.3,exclusion,états associés à intoxication aiguë par une substance psycho-active,"états associés à :
 - intoxication aigüe par une substance psychoactive [F10-F19 avec le quatrième caractère .0] 
 - schizophrénie [F20.-] 
 - syndrome postcommotionnel [F07.2] 
 - trouble organique de la personnalité [F07.0] 
 - troubles psychotiques aigus et transitoires [F23.-] 
",false,true
F44.3,exclusion,états associés à schizophrénie,"états associés à :
 - intoxication aigüe par une substance psychoactive [F10-F19 avec le quatrième caractère .0] 
 - schizophrénie [F20.-] 
 - syndrome postcommotionnel [F07.2] 
 - trouble organique de la personnalité [F07.0] 
 - troubles psychotiques aigus et transitoires [F23.-] 
",false,true
F44.3,exclusion,états associés à syndrome post-commotionnel,"états associés à :
 - intoxication aigüe par une substance psychoactive [F10-F19 avec le quatrième caractère .0] 
 - schizophrénie [F20.-] 
 - syndrome postcommotionnel [F07.2] 
 - trouble organique de la personnalité [F07.0] 
 - troubles psychotiques aigus et transitoires [F23.-] 
",false,true
F44.3,exclusion,états associés à trouble organique de la personnalité,"états associés à :
 - intoxication aigüe par une substance psychoactive [F10-F19 avec le quatrième caractère .0] 
 - schizophrénie [F20.-] 
 - syndrome postcommotionnel [F07.2] 
 - trouble organique de la personnalité [F07.0] 
 - troubles psychotiques aigus et transitoires [F23.-] 
",false,true
F44.3,exclusion,états associés à troubles psychotiques aigus et transitoires,"états associés à :
 - intoxication aigüe par une substance psychoactive [F10-F19 avec le quatrième caractère .0] 
 - schizophrénie [F20.-] 
 - syndrome postcommotionnel [F07.2] 
 - trouble organique de la personnalité [F07.0] 
 - troubles psychotiques aigus et transitoires [F23.-] 
",false,true
F45,exclusion,dysfonctionnement sexuel non induit par un trouble ou une maladie organique,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
F45,exclusion,facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs,"dysfonctionnement sexuel non induit par un trouble ou une maladie organique [F52.-]
facteurs psychologiques ou comportementaux associés à des maladies ou des troubles classés ailleurs [F54]
habitude de se ronger les ongles [F98.8]
lallation [F80.0]
onychophagie [F98.8]
s'arracher les cheveux [F98.4]
succion du pouce [F98.8]
syndrome de Gilles de la Tourette [F95.2]
tics de l'enfance et de l'adolescence [F95.-]
trichotillomanie [F63.3]
troubles dissociatifs [F44.-]
zézaiement [F80.8]
",false,true
