code,field,owl_value,ofs_value,resolved_to
M99.74,label,"Rétrécissement des espaces intervertébraux par tissu conjonctif et discal - "" Région sacrée """,rétrécissement des espaces intervertébraux par tissu conjonctif et discal | région sacrée,OWL_ANS
M99.80,label,"Autres lésions biomécaniques - "" Tête """,autres lésions biomécaniques | tête,OWL_ANS
M99.81,label,"Autres lésions biomécaniques - "" Région cervicale """,autres lésions biomécaniques | région cervicale,OWL_ANS
M99.82,label,"Autres lésions biomécaniques - "" Région thoracique """,autres lésions biomécaniques | région thoracique,OWL_ANS
M99.83,label,"Autres lésions biomécaniques - "" Région lombaire """,autres lésions biomécaniques | région lombaire,OWL_ANS
M99.84,label,"Autres lésions biomécaniques - "" Région sacrée """,autres lésions biomécaniques | région sacrée,OWL_ANS
M99.85,label,"Autres lésions biomécaniques - "" Région pelvienne """,autres lésions biomécaniques | région pelvienne,OWL_ANS
M99.86,label,"Autres lésions biomécaniques - "" Membre inférieur """,autres lésions biomécaniques | membre inférieur,OWL_ANS
M99.87,label,"Autres lésions biomécaniques - "" Membre supérieur """,autres lésions biomécaniques | membre supérieur,OWL_ANS
M99.88,label,"Autres lésions biomécaniques - "" Cage thoracique """,autres lésions biomécaniques | cage thoracique,OWL_ANS
M99.89,label,"Autres lésions biomécaniques - "" Abdomen et autre """,autres lésions biomécaniques | abdomen et autre,OWL_ANS
M99.90,label,"Lésion biomécanique, sans précision - "" Tête ""","lésion biomécanique, sans précision | tête",OWL_ANS
M99.91,label,"Lésion biomécanique, sans précision - "" Région cervicale ""","lésion biomécanique, sans précision | région cervicale",OWL_ANS
M99.92,label,"Lésion biomécanique, sans précision - "" Région thoracique ""","lésion biomécanique, sans précision | région thoracique",OWL_ANS
M99.93,label,"Lésion biomécanique, sans précision - "" Région lombaire ""","lésion biomécanique, sans précision | région lombaire",OWL_ANS
M99.94,label,"Lésion biomécanique, sans précision - "" Région sacrée ""","lésion biomécanique, sans précision | région sacrée",OWL_ANS
M99.95,label,"Lésion biomécanique, sans précision - "" Région pelvienne ""","lésion biomécanique, sans précision | région pelvienne",OWL_ANS
M99.96,label,"Lésion biomécanique, sans précision - "" Membre inférieur ""","lésion biomécanique, sans précision | membre inférieur",OWL_ANS
M99.97,label,"Lésion biomécanique, sans précision - "" Membre supérieur ""","lésion biomécanique, sans précision | membre supérieur",OWL_ANS
M99.98,label,"Lésion biomécanique, sans précision - "" Cage thoracique ""","lésion biomécanique, sans précision | cage thoracique",OWL_ANS
M99.99,label,"Lésion biomécanique, sans précision - "" Abdomen et autre ""","lésion biomécanique, sans précision | abdomen et autre",OWL_ANS
N00.0,label,"Syndrome néphritique aigu - "" Anomalies glomérulaires mineures """,syndrome néphritique aigu | Anomalies glomérulaires mineures,OWL_ANS
N00.1,label,"Syndrome néphritique aigu - "" Lésions glomérulaires segmentaires et focales """,syndrome néphritique aigu | Lésions glomérulaires segmentaires et focales,OWL_ANS
N00.2,label,"Syndrome néphritique aigu - "" Glomérulonéphrite membraneuse diffuse """,syndrome néphritique aigu | Glomérulonéphrite membraneuse diffuse,OWL_ANS
N00.3,label,"Syndrome néphritique aigu - "" Glomérulonéphrite proliférative mésangiale diffuse """,syndrome néphritique aigu | Glomérulonéphrite proliférative mésangiale diffuse,OWL_ANS
N00.4,label,"Syndrome néphritique aigu - "" Glomérulonéphrite proliférative endocapillaire diffuse """,syndrome néphritique aigu | Glomérulonéphrite proliférative endocapillaire diffuse,OWL_ANS
N00.5,label,"Syndrome néphritique aigu - "" Glomérulonéphrite mésangiocapillaire diffuse """,syndrome néphritique aigu | Glomérulonéphrite mésangiocapillaire diffuse,OWL_ANS
N00.6,label,"Syndrome néphritique aigu - "" Maladie à dépôt dense """,syndrome néphritique aigu | Maladie à dépôt dense,OWL_ANS
N00.7,label,"Syndrome néphritique aigu - "" Glomérulonéphrite diffuse en croissant """,syndrome néphritique aigu | Glomérulonéphrite diffuse en croissant,OWL_ANS
N00.8,label,"Syndrome néphritique aigu - "" Autres """,syndrome néphritique aigu | Autres,OWL_ANS
N00.9,label,"Syndrome néphritique aigu - "" Sans précision """,syndrome néphritique aigu | Sans précision,OWL_ANS
N01.0,label,"Syndrome néphritique d'évolution rapide - "" Anomalies glomérulaires mineures """,syndrome néphritique d'évolution rapide | Anomalies glomérulaires mineures,OWL_ANS
N01.1,label,"Syndrome néphritique d'évolution rapide - "" Lésions glomérulaires segmentaires et focales """,syndrome néphritique d'évolution rapide | Lésions glomérulaires segmentaires et focales,OWL_ANS
N01.2,label,"Syndrome néphritique d'évolution rapide - "" Glomérulonéphrite membraneuse diffuse """,syndrome néphritique d'évolution rapide | Glomérulonéphrite membraneuse diffuse,OWL_ANS
N01.3,label,"Syndrome néphritique d'évolution rapide - "" Glomérulonéphrite proliférative mésangiale diffuse """,syndrome néphritique d'évolution rapide | Glomérulonéphrite proliférative mésangiale diffuse,OWL_ANS
N01.4,label,"Syndrome néphritique d'évolution rapide - "" Glomérulonéphrite proliférative endocapillaire diffuse """,syndrome néphritique d'évolution rapide | Glomérulonéphrite proliférative endocapillaire diffuse,OWL_ANS
N01.5,label,"Syndrome néphritique d'évolution rapide - "" Glomérulonéphrite mésangiocapillaire diffuse """,syndrome néphritique d'évolution rapide | Glomérulonéphrite mésangiocapillaire diffuse,OWL_ANS
N01.6,label,"Syndrome néphritique d'évolution rapide - "" Maladie à dépôt dense """,syndrome néphritique d'évolution rapide | Maladie à dépôt dense,OWL_ANS
N01.7,label,"Syndrome néphritique d'évolution rapide - "" Glomérulonéphrite diffuse en croissant """,syndrome néphritique d'évolution rapide | Glomérulonéphrite diffuse en croissant,OWL_ANS
N01.8,label,"Syndrome néphritique d'évolution rapide - "" Autres """,syndrome néphritique d'évolution rapide | Autres,OWL_ANS
