code,field,owl_value,ofs_value,resolved_to
F19.20,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""actuellement abstinent""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | actuellement abstinent,OWL_ANS
F19.21,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""actuellement abstinent mais dans un environnement protégé""","troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | actuellement abstinent, mais dans un environnement protégé",OWL_ANS
F19.22,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""suit actuellement un régime de maintenance ou de substitution, sous surveillance médicale""","troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance, suit actuellement un régime de maintenance ou de substitution, sous surveil. méd.",OWL_ANS
F19.23,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""actuellement abstinent mais prend des médicaments aversifs ou bloquants""","troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | actuellement abstinent, mais prend des médicaments aversifs ou bloquants",OWL_ANS
F19.24,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""utilise actuellement la drogue [dépendance active]""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | utilise actuellement la drogue,OWL_ANS
F19.25,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""utilisation continue""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | utilisation continue,OWL_ANS
F19.26,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de dépendance"" - ""utilisation épisodique (dipsomanie)""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de dépendance | utilisation épisodique (dipsomanie),OWL_ANS
F19.3,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Syndrome de sevrage """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage,OWL_ANS
F19.30,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de sevrage"" - ""sans complication""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage | sans complication,OWL_ANS
F19.31,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de sevrage"" - ""avec convulsions""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage | sans convulsions,OWL_ANS
F19.4,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Syndrome de sevrage avec délirium """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage avec delirium,OWL_ANS
F19.40,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de sevrage avec délirium"" - ""sans convulsion""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage avec delirium | avec convulsions,OWL_ANS
F19.41,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Syndrome de sevrage avec délirium"" - ""avec convulsions""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome de sevrage avec delirium | sans convulsions,OWL_ANS
F19.5,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Trouble psychotique """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique,OWL_ANS
F19.50,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""d’allure schizophrénique""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | d'allure schizophrénique,OWL_ANS
F19.51,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""avec idées délirantes au premier plan""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | avec idées délirantes au  premier plan,OWL_ANS
F19.52,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""avec hallucinations au premier plan""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | avec hallucinations au premier plan,OWL_ANS
F19.53,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""avec symptômes polymorphes au premier plan""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | avec symptômes polymorphes au premier plan,OWL_ANS
F19.54,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""avec symptômes dépressifs au premier plan""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | avec symptômes dépressifs au premier plan,OWL_ANS
F19.55,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""avec symptômes maniaques au premier plan""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | avec symptômes maniaques au premier plan,OWL_ANS
F19.56,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble psychotique"" - ""mixte""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble psychotique | mixte,OWL_ANS
F19.6,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Syndrome amnésique """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | syndrome amnésique,OWL_ANS
F19.7,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Trouble résiduel ou psychotique de survenue tardive """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive,OWL_ANS
F19.70,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""flashbacks""","troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | ""flashbacks""",OWL_ANS
F19.71,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble de la personnalité ou du comportement""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | trouble de la personnalité ou du comportement,OWL_ANS
F19.72,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble thymique résiduel""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | trouble thymique résiduel,OWL_ANS
F19.73,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""démence""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | démence,OWL_ANS
F19.74,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""autre déficit cognitif persistant""",troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | autre déficit cognitif persistant,OWL_ANS
F19.75,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - ""Trouble résiduel ou psychotique de survenue tardive"" - ""trouble psychotique à début tardif """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble résiduel ou psychotique de survenue tardive | trouble psychotique à début tardif,OWL_ANS
F19.8,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Autres troubles mentaux et du comportement """,troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | autres troubles mentaux et du comportement,OWL_ANS
F19.9,label,"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psychoactives - "" Trouble mental ou du comportement, sans précision ""","troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives | trouble mental ou du comportement, sans précision",OWL_ANS
F20.00,label,"Schizophrénie paranoïde - "" continue """,schizophrénie paranoïde | continue,OWL_ANS
F20.01,label,"Schizophrénie paranoïde - "" épisodique avec déficit progressif """,schizophrénie paranoïde | épisodique avec déficit progressif,OWL_ANS
F20.02,label,"Schizophrénie paranoïde - "" épisodique avec déficit stable """,schizophrénie paranoïde | épisodique avec déficit stable,OWL_ANS
F20.03,label,"Schizophrénie paranoïde - "" épisodique rémittente """,schizophrénie paranoïde | épisodique rémittente,OWL_ANS
F20.04,label,"Schizophrénie paranoïde - "" rémission incomplète """,schizophrénie paranoïde | rémission incomplète,OWL_ANS
F20.05,label,"Schizophrénie paranoïde - "" rémission complète """,schizophrénie paranoïde | rémission complète,OWL_ANS
F20.08,label,"Schizophrénie paranoïde - "" autre """,schizophrénie paranoïde | autre,OWL_ANS
F20.09,label,"Schizophrénie paranoïde - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie paranoïde | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.10,label,"Schizophrénie hébéphrénique - "" continue """,schizophrénie hébéphrénique | continue,OWL_ANS
F20.11,label,"Schizophrénie hébéphrénique - "" épisodique avec déficit progressif """,schizophrénie hébéphrénique | épisodique avec déficit progressif,OWL_ANS
F20.12,label,"Schizophrénie hébéphrénique - "" épisodique avec déficit stable """,schizophrénie hébéphrénique | épisodique avec déficit stable,OWL_ANS
F20.13,label,"Schizophrénie hébéphrénique - "" épisodique rémittente """,schizophrénie hébéphrénique | épisodique rémittente,OWL_ANS
F20.14,label,"Schizophrénie hébéphrénique - "" rémission incomplète """,schizophrénie hébéphrénique | rémission incomplète,OWL_ANS
F20.15,label,"Schizophrénie hébéphrénique - "" rémission complète """,schizophrénie hébéphrénique | rémission complète,OWL_ANS
F20.18,label,"Schizophrénie hébéphrénique - "" autre """,schizophrénie hébéphrénique | autre,OWL_ANS
F20.19,label,"Schizophrénie hébéphrénique - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie hébéphrénique | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.20,label,"Schizophrénie catatonique - "" continue """,schizophrénie catatonique | continue,OWL_ANS
F20.21,label,"Schizophrénie catatonique - "" épisodique avec déficit progressif """,schizophrénie catatonique | épisodique avec déficit progressif,OWL_ANS
F20.22,label,"Schizophrénie catatonique - "" épisodique avec déficit stable """,schizophrénie catatonique | épisodique avec déficit stable,OWL_ANS
F20.23,label,"Schizophrénie catatonique - "" épisodique rémittente """,schizophrénie catatonique | épisodique rémittente,OWL_ANS
F20.24,label,"Schizophrénie catatonique - "" rémission incomplète """,schizophrénie catatonique | rémission incomplète,OWL_ANS
F20.25,label,"Schizophrénie catatonique - "" rémission complète """,schizophrénie catatonique | rémission complète,OWL_ANS
F20.28,label,"Schizophrénie catatonique - "" autre """,schizophrénie catatonique | autre,OWL_ANS
F20.29,label,"Schizophrénie catatonique - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie catatonique | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.30,label,"Schizophrénie indifférenciée - "" continue """,schizophrénie indifférenciée | continue,OWL_ANS
F20.31,label,"Schizophrénie indifférenciée - "" épisodique avec déficit progressif """,schizophrénie indifférenciée | épisodique avec déficit progressif,OWL_ANS
F20.32,label,"Schizophrénie indifférenciée - "" épisodique avec déficit stable """,schizophrénie indifférenciée | épisodique avec déficit stable,OWL_ANS
F20.33,label,"Schizophrénie indifférenciée - "" épisodique rémittente """,schizophrénie indifférenciée | épisodique rémittente,OWL_ANS
F20.34,label,"Schizophrénie indifférenciée - "" rémission incomplète """,schizophrénie indifférenciée | rémission incomplète,OWL_ANS
F20.35,label,"Schizophrénie indifférenciée - "" rémission complète """,schizophrénie indifférenciée | rémission complète,OWL_ANS
F20.38,label,"Schizophrénie indifférenciée - "" autre """,schizophrénie indifférenciée | autre,OWL_ANS
F20.39,label,"Schizophrénie indifférenciée - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie indifférenciée | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.4,label,Dépression postschizophrénique,dépression post-schizophrénique,OWL_ANS
F20.40,label,"Dépression postschizophrénique - "" continue """,dépression post-schizophrénique | continue,OWL_ANS
F20.41,label,"Dépression postschizophrénique - "" épisodique avec déficit progressif """,dépression post-schizophrénique | épisodique avec déficit progressif,OWL_ANS
F20.42,label,"Dépression postschizophrénique - "" épisodique avec déficit stable """,dépression post-schizophrénique | épisodique avec déficit stable,OWL_ANS
F20.43,label,"Dépression postschizophrénique - "" épisodique rémittente """,dépression post-schizophrénique | épisodique rémittente,OWL_ANS
F20.44,label,"Dépression postschizophrénique - "" rémission incomplète """,dépression post-schizophrénique | rémission incomplète,OWL_ANS
F20.45,label,"Dépression postschizophrénique - "" rémission complète """,dépression post-schizophrénique | rémission complète,OWL_ANS
F20.48,label,"Dépression postschizophrénique - "" autre """,dépression post-schizophrénique | autre,OWL_ANS
F20.49,label,"Dépression postschizophrénique - "" évolution imprévisible, période d’observation trop brève ""","dépression post-schizophrénique | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.50,label,"Schizophrénie résiduelle - "" continue """,schizophrénie résiduelle | continue,OWL_ANS
F20.51,label,"Schizophrénie résiduelle - "" épisodique avec déficit progressif """,schizophrénie résiduelle | épisodique avec déficit progressif,OWL_ANS
F20.52,label,"Schizophrénie résiduelle - "" épisodique avec déficit stable """,schizophrénie résiduelle | épisodique avec déficit stable,OWL_ANS
F20.53,label,"Schizophrénie résiduelle - "" épisodique rémittente """,schizophrénie résiduelle | épisodique rémittente,OWL_ANS
F20.54,label,"Schizophrénie résiduelle - "" rémission incomplète """,schizophrénie résiduelle | rémission incomplète,OWL_ANS
F20.55,label,"Schizophrénie résiduelle - "" rémission complète """,schizophrénie résiduelle | rémission complète,OWL_ANS
F20.58,label,"Schizophrénie résiduelle - "" autre """,schizophrénie résiduelle | autre,OWL_ANS
F20.59,label,"Schizophrénie résiduelle - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie résiduelle | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.60,label,"Schizophrénie simple - "" continue """,schizophrénie simple | continue,OWL_ANS
F20.61,label,"Schizophrénie simple - "" épisodique avec déficit progressif """,schizophrénie simple | épisodique avec déficit progressif,OWL_ANS
F20.62,label,"Schizophrénie simple - "" épisodique avec déficit stable """,schizophrénie simple | épisodique avec déficit stable,OWL_ANS
F20.63,label,"Schizophrénie simple - "" épisodique rémittente """,schizophrénie simple | épisodique rémittente,OWL_ANS
F20.64,label,"Schizophrénie simple - "" rémission incomplète """,schizophrénie simple | rémission incomplète,OWL_ANS
F20.65,label,"Schizophrénie simple - "" rémission complète """,schizophrénie simple | rémission complète,OWL_ANS
F20.68,label,"Schizophrénie simple - "" autre """,schizophrénie simple | autre,OWL_ANS
F20.69,label,"Schizophrénie simple - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie simple | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.80,label,"Autres formes de schizophrénie - "" continue """,autres formes de schizophrénie | continue,OWL_ANS
F20.81,label,"Autres formes de schizophrénie - "" épisodique avec déficit progressif """,autres formes de schizophrénie | épisodique avec déficit progressif,OWL_ANS
F20.82,label,"Autres formes de schizophrénie - "" épisodique avec déficit stable """,autres formes de schizophrénie | épisodique avec déficit stable,OWL_ANS
F20.83,label,"Autres formes de schizophrénie - "" épisodique rémittente """,autres formes de schizophrénie | épisodique rémittente,OWL_ANS
F20.84,label,"Autres formes de schizophrénie - "" rémission incomplète """,autres formes de schizophrénie | rémission incomplète,OWL_ANS
F20.85,label,"Autres formes de schizophrénie - "" rémission complète """,autres formes de schizophrénie | rémission complète,OWL_ANS
F20.88,label,"Autres formes de schizophrénie - "" autre """,autres formes de schizophrénie | autre,OWL_ANS
F20.89,label,"Autres formes de schizophrénie - "" évolution imprévisible, période d’observation trop brève ""","autres formes de schizophrénie | évolution imprévisible, période d'observation trop brève",OWL_ANS
F20.90,label,"Schizophrénie, sans précision - "" continue ""","schizophrénie, sans précision | continue",OWL_ANS
F20.91,label,"Schizophrénie, sans précision - "" épisodique avec déficit progressif ""","schizophrénie, sans précision | épisodique avec déficit progressif",OWL_ANS
F20.92,label,"Schizophrénie, sans précision - "" épisodique avec déficit stable ""","schizophrénie, sans précision | épisodique avec déficit stable",OWL_ANS
F20.93,label,"Schizophrénie, sans précision - "" épisodique rémittente ""","schizophrénie, sans précision | épisodique rémittente",OWL_ANS
F20.94,label,"Schizophrénie, sans précision - "" rémission incomplète ""","schizophrénie, sans précision | rémission incomplète",OWL_ANS
F20.95,label,"Schizophrénie, sans précision - "" rémission complète ""","schizophrénie, sans précision | rémission complète",OWL_ANS
F20.98,label,"Schizophrénie, sans précision - "" autre ""","schizophrénie, sans précision | autre",OWL_ANS
F20.99,label,"Schizophrénie, sans précision - "" évolution imprévisible, période d’observation trop brève ""","schizophrénie, sans précision | évolution imprévisible, période d'observation trop brève",OWL_ANS
F23.00,label,"Trouble psychotique aigu polymorphe, sans symptômes schizophréniques - "" sans facteur de stress aigu associé ""","trouble psychotique aigu polymorphe, sans symptômes schizophréniques | sans facteur de stress aigu associé",OWL_ANS
F23.01,label,"Trouble psychotique aigu polymorphe, sans symptômes schizophréniques - "" avec facteur de stress aigu associé ""","trouble psychotique aigu polymorphe, sans symptômes schizophréniques | avec facteur de stress aigu associé",OWL_ANS
F23.10,label,"Trouble psychotique aigu polymorphe, avec symptômes schizophréniques - "" sans facteur de stress aigu associé """,trouble psychotique aigu polymorphe avec symptômes schizophréniques | sans facteur de stress aigu associé,OWL_ANS
F23.11,label,"Trouble psychotique aigu polymorphe, avec symptômes schizophréniques - "" avec facteur de stress aigu associé """,trouble psychotique aigu polymorphe avec symptômes schizophréniques | avec facteur de stress aigu associé,OWL_ANS
F23.20,label,"Trouble psychotique aigu d'allure schizophrénique - "" sans facteur de stress aigu associé """,trouble psychotique aigu d'allure schizophrénique | sans facteur de stress aigu associé,OWL_ANS
F23.21,label,"Trouble psychotique aigu d'allure schizophrénique - "" avec facteur de stress aigu associé """,trouble psychotique aigu d'allure schizophrénique | avec facteur de stress aigu associé,OWL_ANS
F23.30,label,"Autre trouble psychotique aigu, essentiellement délirant - "" sans facteur de stress aigu associé ""","autre trouble psychotique aigu, essentiellement délirant | sans facteur de stress aigu associé",OWL_ANS
F23.31,label,"Autre trouble psychotique aigu, essentiellement délirant - "" avec facteur de stress aigu associé ""","autre trouble psychotique aigu, essentiellement délirant | avec facteur de stress aigu associé",OWL_ANS
F23.80,label,"Autres troubles psychotiques aigus et transitoires - "" sans facteur de stress aigu associé """,autres troubles psychotiques aigus et transitoires | sans facteur de stress aigu associé,OWL_ANS
F23.81,label,"Autres troubles psychotiques aigus et transitoires - "" avec facteur de stress aigu associé """,autres troubles psychotiques aigus et transitoires | avec facteur de stress aigu associé,OWL_ANS
F23.90,label,"Trouble psychotique aigu et transitoire, sans précision - "" sans facteur de stress aigu associé ""","trouble psychotique aigu et transitoire, sans précision | sans facteur de stress aigu associé",OWL_ANS
F23.91,label,"Trouble psychotique aigu et transitoire, sans précision - "" avec facteur de stress aigu associé ""","trouble psychotique aigu et transitoire, sans précision | avec facteur de stress aigu associé",OWL_ANS
F25,label,Troubles schizoaffectifs,troubles schizo-affectifs,OWL_ANS
F25.0,label,"Trouble schizoaffectif, type maniaque","trouble schizo-affectif, type maniaque",OWL_ANS
F25.1,label,"Trouble schizoaffectif, type dépressif","trouble schizo-affectif, type dépressif",OWL_ANS
F25.2,label,"Trouble schizoaffectif, type mixte","trouble schizo-affectif, type mixte",OWL_ANS
F25.8,label,Autres troubles schizoaffectifs,autres troubles schizo-affectifs,OWL_ANS
F25.9,label,"Trouble schizoaffectif, sans précision","trouble schizo-affectif, sans précision",OWL_ANS
F31.30,label,"Trouble affectif bipolaire, épisode actuel de dépression légère ou moyenne, sans syndrome somatique","trouble affectif bipolaire, épisode actuel de dépression légère ou moyenne | sans syndrome somatique",OWL_ANS
F31.31,label,"Trouble affectif bipolaire, épisode actuel de dépression légère ou moyenne, avec syndrome somatique","trouble affectif bipolaire, épisode actuel de dépression légère ou moyenne | avec syndrome somatique",OWL_ANS
F31.8,label,Autres troubles affectifs bipolaires,autres troubles affectifs bipolaires SAI,OWL_ANS
F32.00,label,"Épisode dépressif léger, sans syndrome somatique",épisode dépressif léger | sans syndrome somatique,OWL_ANS
F32.01,label,"Épisode dépressif léger, avec syndrome somatique",épisode dépressif léger | avec syndrome somatique,OWL_ANS
F32.10,label,"Épisode dépressif moyen, sans syndrome somatique",épisode dépressif moyen | sans syndrome somatique,OWL_ANS
F32.11,label,"Épisode dépressif moyen, avec syndrome somatique",épisode dépressif moyen | avec syndrome somatique,OWL_ANS
F33.00,label,"Trouble dépressif récurrent, épisode actuel léger, sans syndrome somatique","trouble dépressif récurrent, épisode actuel léger | sans syndrome somatique",OWL_ANS
F33.01,label,"Trouble dépressif récurrent, épisode actuel léger, avec syndrome somatique","trouble dépressif récurrent, épisode actuel léger | avec syndrome somatique",OWL_ANS
F33.10,label,"Trouble dépressif récurrent, épisode actuel moyen, sans syndrome somatique","trouble dépressif récurrent, épisode actuel moyen | sans syndrome somatique",OWL_ANS
F33.11,label,"Trouble dépressif récurrent, épisode actuel moyen, avec syndrome somatique","trouble dépressif récurrent, épisode actuel moyen | avec syndrome somatique",OWL_ANS
F38.00,label,Épisode affectif mixte isolé,autres troubles de l'humeur [affectifs] isolés | épisode affectif mixte,OWL_ANS
F38.10,label,Épisodes dépressifs récurrents de courte durée,autres troubles de l'humeur [affectifs] récurrents | trouble dépressif récurrent bref,OWL_ANS
F40.00,label,Agoraphobie sans trouble panique (actuel) (antérieur),agoraphobie | sans trouble panique,OWL_ANS
F40.01,label,Agoraphobie avec trouble panique,agoraphobie | avec trouble panique,OWL_ANS
F43.1,label,État de stress posttraumatique,état de stress post-traumatique,OWL_ANS
F43.20,label,"Trouble de l’adaptation, réaction dépressive brève",troubles de l'adaptation | réaction dépressive brève,OWL_ANS
F43.21,label,"Trouble de l’adaptation, réaction dépressive prolongée",troubles de l'adaptation | réaction dépressive prolongée,OWL_ANS
F43.22,label,"Trouble de l’adaptation, réaction mixte, anxieuse et dépressive","troubles de l'adaptation | réaction mixte, anxieuse et dépressive",OWL_ANS
F43.23,label,"Trouble de l’adaptation, avec prédominance d’une perturbation d’autres émotions",troubles de l'adaptation | avec prédominance d'une perturbation d'autres émotions,OWL_ANS
F43.24,label,"Trouble de l’adaptation, avec prédominance d’une perturbation des conduites",troubles de l'adaptation | avec prédominance d'une perturbation des conduites,OWL_ANS
F43.25,label,"Trouble de l’adaptation, avec prédominance d’une perturbation mixte des émotions et des conduites",troubles de l'adaptation | avec perturbation mixte des émotions et des conduites,OWL_ANS
F43.28,label,"Trouble de l’adaptation, avec prédominance d’une perturbation d’autres symptômes précisés",troubles de l'adaptation | avec prédominance d'autres symptômes spécifiés,OWL_ANS
F44.6,label,Anesthésie et atteintes sensorielles dissociatives,anesthésie dissociative et atteintes sensorielles,OWL_ANS
F44.80,label,Syndrome de Ganser,autres troubles dissociatifs [de conversion] | syndrome de Ganser,OWL_ANS
F44.81,label,Personnalité multiple,autres troubles dissociatifs [de conversion] | personnalité multiple,OWL_ANS
F44.82,label,Troubles dissociatifs [de conversion] transitoires survenant dans l’enfance ou dans l’adolescence,autres troubles dissociatifs [de conversion] | troubles dissociatifs (de conversion) transitoires survenant dans l'enfance ou dans l'adolescence,OWL_ANS
F44.88,label,Autres troubles dissociatifs [de conversion] précisés,autres troubles dissociatifs [de conversion] | autres troubles dissociatifs (de conversion) spécifiés,OWL_ANS
F45.30,label,Dysfonctionnement neurovégétatif d’expression circulatoire,dysfonctionnement neurovégétatif somatoforme | coeur et système cardio-vasculaire,OWL_ANS
F45.31,label,Dysfonctionnement neurovégétatif d’expression œsogastrique,dysfonctionnement neurovégétatif somatoforme | oesophage et estomac,OWL_ANS
F45.32,label,Dysfonctionnement neurovégétatif d’expression intestinale,dysfonctionnement neurovégétatif somatoforme | intestins,OWL_ANS
F45.33,label,Dysfonctionnement neurovégétatif d’expression respiratoire,dysfonctionnement neurovégétatif somatoforme | système respiratoire,OWL_ANS
F45.34,label,Dysfonctionnement neurovégétatif d’expression génito-urinaire,dysfonctionnement neurovégétatif somatoforme | système uro-génital,OWL_ANS
F45.38,label,Dysfonctionnement neurovégétatif d’expression autre,dysfonctionnement neurovégétatif somatoforme | autre système ou organe,OWL_ANS
F52.10,label,Aversion sexuelle,aversion sexuelle et manque de plaisir sexuel | aversion sexuelle,OWL_ANS
F52.11,label,Manque de plaisir sexuel [Anhédonie sexuelle],aversion sexuelle et manque de plaisir sexuel | manque de plaisir sexuel,OWL_ANS
F60.30,label,"Personnalité émotionnellement labile, de type impulsif",personnalité émotionnellement labile | type impulsif,OWL_ANS
